Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
21,ECESX,441.300000,,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,EB6ECE UHF SIMPLEX,,,,
22,VU_SX,440.550000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,AB6VU UHF SIMPLEX,,,,
23,KE_SX,146.835000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,W6JWS VHF SIMPLEX,,,,
24,JWSSX,147.745000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,W6JWS VHF SIMPLEX,,,,
25,AOKSX,147.120000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,WR6AOK VHF SIMPLEX,,,,
26,BJ_SX,146.790000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,K6BJ VHF SIMPLEX,,,,
27,BJ7SX,440.925000,,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,K6BJ UHF SIMPLEX,,,,
28,FFPSX,147.945000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,KJ6FFP/W VHF SIMPLEX,,,,
29,RMWSX,147.000000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,K6RMW VHF SIMPLEX,,,,
30,HSPT1,146.460000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,HOSPITAL SIMPLEX 1,,,,
31,HSPT2,446.500000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,HOSPITAL SIMPLEX 2,,,,
32,LOMXB,441.875000,split,146.505000,Tone,94.8,88.5,023,NN,FM,5.00,S,LOMA AREA CROSSBAND,,,,
33,SLVXB,446.875000,split,147.555000,Tone,94.8,88.5,023,NN,FM,5.00,S,SLV AREA CROSSBAND,,,,
34,CSTXB,441.000000,split,146.535000,Tone,94.8,88.5,023,NN,FM,5.00,S,COASTAL AREA CROSSBAND,,,,
35,RMW70,443.050000,+,5.000000,Tone,94.8,88.5,023,NN,FM,5.00,,K6RMW UHF,,,,
36,MW7SX,443.050000,,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,S,K6RMW UHF SIMPLEX,,,,
